Cluster,País_1,País_2,Años_overlap,Años_min_común,Años_max_común,Productos_comunes,Correlación,Años_solo_P1,Años_solo_P2,Rango_solo_P1,Rango_solo_P2
0,Bosnia y Herzegovina,Turkmenistán,31,1992,2022,40,0.5051009118268008,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Ucrania,31,1992,2022,41,-0.01885054195010698,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Uzbekistán,31,1992,2022,40,0.266673515189502,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Asia central,31,1992,2022,41,0.35753724165656037,0,0,N/A-N/A,N/A-N/A
0,Chequia,Croacia,30,1993,2022,41,0.1879459239123227,0,1,N/A-N/A,1992-1992
0,Chequia,Eritrea,30,1993,2022,39,-0.23031214371302575,0,0,N/A-N/A,N/A-N/A
0,Chequia,Eslovaquia,30,1993,2022,41,0.6295874540822062,0,0,N/A-N/A,N/A-N/A
0,Chequia,Eslovenia,30,1993,2022,41,0.29850508771520595,0,1,N/A-N/A,1992-1992
0,Chequia,Estonia,30,1993,2022,41,0.3437886149317124,0,1,N/A-N/A,1992-1992
0,Chequia,Etiopía,30,1993,2022,39,-0.1843981801995954,0,0,N/A-N/A,N/A-N/A
0,Chequia,Federación de Rusia,30,1993,2022,41,0.3060207580974164,0,1,N/A-N/A,1992-1992
0,Chequia,Georgia,30,1993,2022,41,-0.020750210751290635,0,1,N/A-N/A,1992-1992
0,Chequia,Kazajstán,30,1993,2022,41,0.13936854538009996,0,1,N/A-N/A,1992-1992
0,Chequia,Kirguistán,30,1993,2022,40,-0.12582660739370266,0,1,N/A-N/A,1992-1992
0,Chequia,Letonia,30,1993,2022,40,0.4936402912623043,0,1,N/A-N/A,1992-1992
0,Chequia,Lituania,30,1993,2022,41,0.4932371821303458,0,1,N/A-N/A,1992-1992
0,Chequia,Luxemburgo,23,2000,2022,40,0.245568144274536,7,0,1993-1999,N/A-N/A
0,Chequia,Macedonia del Norte,30,1993,2022,39,0.31438257884173326,0,1,N/A-N/A,1992-1992
0,Chequia,Micronesia (Estados Federados de),30,1993,2022,39,-0.09983935458553751,0,2,N/A-N/A,1991-1992
0,Chequia,Montenegro,17,2006,2022,40,0.09962641433763125,13,0,1993-2005,N/A-N/A
0,Chequia,Palestina,30,1993,2022,34,-0.25658019440084767,0,3,N/A-N/A,1990-1992
0,Chequia,República de Moldova,30,1993,2022,40,0.4758591059578294,0,1,N/A-N/A,1992-1992
0,Chequia,Serbia,17,2006,2022,41,0.24574571579039775,13,0,1993-2005,N/A-N/A
