País,Año_min,Año_max,Años_span,Años_únicos,Continuidad_%,N_productos,N_elementos,N_combos_prod_elem,Cobertura_productos_%,Cobertura_elementos_%,Registros_totales,Densidad_datos_%,Registros_pre1990,Registros_post1990,Tiene_pre1990,Tiene_post1990,Cluster
Portugal,1961,2022,62,62,100.0,42,9,234,97.67441860465115,100.0,11607,80.00413564929694,2088,9519,True,True,1
España,1961,2022,62,62,100.0,42,9,231,97.67441860465115,100.0,11451,79.95391705069125,2030,9421,True,True,1
Rumanía,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11547,79.93216115187595,2088,9459,True,True,1
Dinamarca,1961,2022,62,62,100.0,40,9,226,93.02325581395348,100.0,11199,79.92435055666571,2001,9198,True,True,1
Türkiye,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11544,79.91139415755227,2088,9456,True,True,1
Bulgaria,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11516,79.71756887719785,2088,9428,True,True,1
Irlanda,1961,2022,62,62,100.0,40,9,226,93.02325581395348,100.0,11166,79.68883813873823,2001,9165,True,True,1
Polonia,1961,2022,62,62,100.0,41,9,231,95.34883720930233,100.0,11395,79.5629102080715,2001,9394,True,True,1
Austria,1961,2022,62,62,100.0,40,9,226,93.02325581395348,100.0,11137,79.48187268055952,2001,9136,True,True,1
Suiza,1961,2022,62,62,100.0,40,9,226,93.02325581395348,100.0,11136,79.47473594062232,2001,9135,True,True,1
Nueva Zelandia,1961,2022,62,62,100.0,41,9,228,95.34883720930233,100.0,11203,79.25155631013017,2001,9202,True,True,1
Noruega,1961,2022,62,62,100.0,40,9,223,93.02325581395348,100.0,10953,79.22030956169536,1943,9010,True,True,1
Países Bajos (Reino de los),1961,2022,62,62,100.0,41,9,231,95.34883720930233,100.0,11300,78.89959502862729,2001,9299,True,True,1
Canadá,1961,2022,62,62,100.0,41,9,227,95.34883720930233,100.0,11070,78.65567713514282,1943,9127,True,True,1
Chipre,1961,2022,62,62,100.0,40,9,223,93.02325581395348,100.0,10854,78.504267322436,1943,8911,True,True,1
Islandia,1961,2022,62,62,100.0,39,9,219,90.69767441860465,100.0,10637,78.33996170275445,1798,8839,True,True,1
Alemania,1961,2022,62,62,100.0,41,9,228,95.34883720930233,100.0,11043,78.11969439728354,2001,9042,True,True,1
Reino Unido de Gran Bretaña e Irlanda del Norte,1961,2022,62,62,100.0,41,9,230,95.34883720930233,100.0,11137,78.09957924263674,2001,9136,True,True,1
Suecia,1961,2022,62,62,100.0,40,9,223,93.02325581395348,100.0,10787,78.0196730797049,1943,8844,True,True,1
Malta,1961,2022,62,62,100.0,40,9,222,93.02325581395348,100.0,10424,75.73379831444348,1943,8481,True,True,1
Colombia,1961,2022,62,62,100.0,42,9,228,97.67441860465115,100.0,10571,74.78070175438597,2030,8541,True,True,1
Brasil,1961,2022,62,62,100.0,42,9,228,97.67441860465115,100.0,10456,73.96717600452745,2030,8426,True,True,1
República de Corea,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,10394,73.85249396049453,2030,8364,True,True,1
México,1961,2022,62,62,100.0,42,9,228,97.67441860465115,100.0,10352,73.23146576117713,2030,8322,True,True,1
Malasia,1961,2022,62,62,100.0,42,9,229,97.67441860465115,100.0,10246,72.16509367516551,2088,8158,True,True,1
Namibia,1961,2022,62,62,100.0,38,9,207,88.37209302325581,100.0,9229,71.91055010129344,1943,7286,True,True,1
Ghana,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9787,71.75219941348973,2001,7786,True,True,1
Indonesia,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9978,71.21039109334856,2030,7948,True,True,1
Paraguay,1961,2022,62,62,100.0,41,9,224,95.34883720930233,100.0,9880,71.1405529953917,2030,7850,True,True,1
Kenya,1961,2022,62,62,100.0,40,9,214,93.02325581395348,100.0,9380,70.69641242086222,2001,7379,True,True,1
Israel,1961,2022,62,62,100.0,41,9,225,95.34883720930233,100.0,9829,70.45878136200717,1914,7915,True,True,1
Albania,1961,2022,62,62,100.0,41,9,227,95.34883720930233,100.0,9904,70.37089668892995,2059,7845,True,True,1
Mongolia,1961,2022,62,62,100.0,39,9,214,90.69767441860465,100.0,9320,70.24419656315948,1914,7406,True,True,1
Togo,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9576,70.20527859237536,2001,7575,True,True,1
Sudáfrica,1961,2022,62,62,100.0,41,9,222,95.34883720930233,100.0,9662,70.19761697181052,2030,7632,True,True,1
Guyana,1961,2022,62,62,100.0,40,9,212,93.02325581395348,100.0,9211,70.07760194765672,1972,7239,True,True,1
Polinesia,1961,2022,62,62,100.0,39,9,211,90.69767441860465,100.0,9162,70.03516281914081,2001,7161,True,True,1
Costa Rica,1961,2022,62,62,100.0,41,9,222,95.34883720930233,100.0,9622,69.90700377797152,2001,7621,True,True,1
Argentina,1961,2022,62,62,100.0,42,9,228,97.67441860465115,100.0,9872,69.83588002263724,2030,7842,True,True,1
República Democrática del Congo,1961,2022,62,62,100.0,41,9,219,95.34883720930233,100.0,9477,69.79673000441892,1972,7505,True,True,1
India,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9947,69.75455820476859,2059,7888,True,True,1
Zimbabwe,1961,2022,62,62,100.0,41,9,222,95.34883720930233,100.0,9593,69.69630921243825,2030,7563,True,True,1
Burundi,1961,2022,62,62,100.0,40,9,214,93.02325581395348,100.0,9240,69.64124208622249,2088,7152,True,True,1
China,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9930,69.63534361851332,2088,7842,True,True,1
Chile,1961,2022,62,62,100.0,42,9,228,97.67441860465115,100.0,9843,69.63073005093379,2030,7813,True,True,1
