País,Año_min,Año_max,Años_span,Años_únicos,Continuidad_%,N_productos,N_elementos,N_combos_prod_elem,Cobertura_productos_%,Cobertura_elementos_%,Registros_totales,Densidad_datos_%,Registros_pre1990,Registros_post1990,Tiene_pre1990,Tiene_post1990
Etiopía,1993,2022,30,30,100.0,40,9,211,93.02325581395348,100.0,6686,105.62401263823065,0,6686,False,True
Etiopía RDP,1961,1992,32,32,100.0,38,8,199,88.37209302325581,88.88888888888889,2476,38.881909547738694,1885,591,True,True
Federación de Rusia,1992,2022,31,31,100.0,42,9,232,97.67441860465115,100.0,8706,121.0511679644049,0,8706,False,True
Fiji,1961,2022,62,62,100.0,41,9,219,95.34883720930233,100.0,9138,67.30004418912947,1972,7166,True,True
Filipinas,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9732,69.45475306879817,2030,7702,True,True
Finlandia,1961,2022,62,62,100.0,41,9,229,95.34883720930233,100.0,11381,80.15917734892238,2001,9380,True,True
Francia,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11754,81.36508376021044,2088,9666,True,True
Gabón,1961,2022,62,62,100.0,41,9,222,95.34883720930233,100.0,9547,69.3621040395234,2030,7517,True,True
Gambia,1961,2022,62,62,100.0,39,9,204,90.69767441860465,100.0,8717,68.91998734977862,1943,6774,True,True
Georgia,1992,2022,31,31,100.0,41,9,225,95.34883720930233,100.0,7537,108.0573476702509,0,7537,False,True
Ghana,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9787,71.75219941348973,2001,7786,True,True
Gibraltar,1990,2022,33,33,100.0,25,7,117,58.139534883720934,77.77777777777779,3861,100.0,0,3861,False,True
Granada,1961,2022,62,62,100.0,39,9,218,90.69767441860465,100.0,9195,68.03048239124001,2001,7194,True,True
Grecia,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11674,80.81129724491208,2088,9586,True,True
Groenlandia,1961,2022,62,62,100.0,34,9,184,79.06976744186046,100.0,6644,58.2398316970547,435,6209,True,True
Guadalupe,1961,2022,62,62,100.0,33,8,173,76.74418604651163,88.88888888888889,6396,59.63080365467089,1564,4832,True,True
Guam,1990,2022,33,33,100.0,30,8,157,69.76744186046511,88.88888888888889,5125,98.91912758154795,0,5125,False,True
Guatemala,1961,2022,62,62,100.0,40,9,218,93.02325581395348,100.0,9319,68.94791358390057,2030,7289,True,True
Guayana Francesa,1961,2022,62,62,100.0,35,8,182,81.3953488372093,88.88888888888889,6892,61.07763204537399,1711,5181,True,True
Guinea,1961,2022,62,62,100.0,40,9,216,93.02325581395348,100.0,9195,68.66039426523297,2030,7165,True,True
Guinea Ecuatorial,1961,2022,62,62,100.0,38,9,206,88.37209302325581,100.0,8238,64.50046977763859,1566,6672,True,True
Guinea-Bissau,1961,2022,62,62,100.0,40,9,210,93.02325581395348,100.0,8931,68.59447004608295,1943,6988,True,True
Guyana,1961,2022,62,62,100.0,40,9,212,93.02325581395348,100.0,9211,70.07760194765672,1972,7239,True,True
Haití,1961,2022,62,62,100.0,40,9,213,93.02325581395348,100.0,9139,69.20339239739512,1972,7167,True,True
Honduras,1961,2022,62,62,100.0,41,9,223,95.34883720930233,100.0,9378,67.82872848256906,2001,7377,True,True
Hungría,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11573,80.11214176934791,2088,9485,True,True
India,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9947,69.75455820476859,2059,7888,True,True
Indonesia,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9978,71.21039109334856,2030,7948,True,True
Irán (República Islámica del),1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,9530,67.71351428165411,2001,7529,True,True
Iraq,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9464,67.54210676562946,2001,7463,True,True
Irlanda,1961,2022,62,62,100.0,40,9,226,93.02325581395348,100.0,11166,79.68883813873823,2001,9165,True,True
Isla de Man,1990,2022,33,33,100.0,23,7,109,53.48837209302325,77.77777777777779,3493,97.10870169585766,0,3493,False,True
Isla Norfolk,1990,2022,33,33,100.0,26,8,137,60.46511627906976,88.88888888888889,3250,71.8867507188675,0,3250,False,True
Islandia,1961,2022,62,62,100.0,39,9,219,90.69767441860465,100.0,10637,78.33996170275445,1798,8839,True,True
Islas Anglonormandas,1990,2022,33,33,100.0,16,6,71,37.2093023255814,66.66666666666666,2343,100.0,0,2343,False,True
Islas Caimán,1990,2022,33,33,100.0,31,9,165,72.09302325581395,100.0,5386,98.91643709825529,0,5386,False,True
Islas Cook,1961,2022,62,62,100.0,35,8,180,81.3953488372093,88.88888888888889,7456,66.8100358422939,1508,5948,True,True
Islas Feroe,1961,2022,62,62,100.0,34,9,179,79.06976744186046,100.0,7258,65.39917102180574,1421,5837,True,True
Islas Malvinas (Falkland Islands),1990,2022,33,33,100.0,30,8,160,69.76744186046511,88.88888888888889,5221,98.88257575757575,0,5221,False,True
Islas Marianas del Norte,1991,2022,32,32,100.0,25,6,117,58.139534883720934,66.66666666666666,3726,99.51923076923077,0,3726,False,True
Islas Marshall,1991,2022,32,32,100.0,31,7,157,72.09302325581395,77.77777777777779,4772,94.98407643312102,0,4772,False,True
Islas Salomón,1961,2022,62,62,100.0,40,9,210,93.02325581395348,100.0,8650,66.43625192012288,1812,6838,True,True
Islas Svalbard y Jan Mayen,1990,2022,33,33,100.0,15,6,74,34.883720930232556,66.66666666666666,2442,100.0,0,2442,False,True
Islas Turcas y Caicos,1961,2022,62,62,100.0,30,7,140,69.76744186046511,77.77777777777779,4852,55.89861751152074,232,4620,True,True
Islas Vírgenes Británicas,1961,2022,62,62,100.0,32,9,173,74.4186046511628,100.0,5900,55.0065261980235,232,5668,True,True
Islas Vírgenes de los Estados Unidos,1990,2022,33,33,100.0,29,9,151,67.44186046511628,100.0,4634,92.99618703592213,0,4634,False,True
Islas Wallis y Futuna,1990,2022,33,33,100.0,31,8,164,72.09302325581395,88.88888888888889,5361,99.05764966740577,0,5361,False,True
Israel,1961,2022,62,62,100.0,41,9,225,95.34883720930233,100.0,9829,70.45878136200717,1914,7915,True,True
Italia,1961,2022,62,62,100.0,42,9,234,97.67441860465115,100.0,11725,80.8174800110284,2088,9637,True,True
Jamaica,1961,2022,62,62,100.0,41,9,224,95.34883720930233,100.0,9668,69.61405529953917,2030,7638,True,True
Japón,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,11517,80.76437587657784,2030,9487,True,True
Jordania,1961,2022,62,62,100.0,41,9,222,95.34883720930233,100.0,9351,67.93809938971229,1914,7437,True,True
Kazajstán,1992,2022,31,31,100.0,42,9,232,97.67441860465115,100.0,8663,120.45328142380423,0,8663,False,True
Kenya,1961,2022,62,62,100.0,40,9,214,93.02325581395348,100.0,9380,70.69641242086222,2001,7379,True,True
Kirguistán,1992,2022,31,31,100.0,41,9,219,95.34883720930233,100.0,7410,109.14714980114893,0,7410,False,True
Kiribati,1961,2022,62,62,100.0,35,8,188,81.3953488372093,88.88888888888889,7686,65.94028826355525,1508,6178,True,True
Kuwait,1961,2022,62,62,100.0,41,9,224,95.34883720930233,100.0,9371,67.47551843317973,1831,7540,True,True
Lesotho,1961,2022,62,62,100.0,39,9,211,90.69767441860465,100.0,8928,68.24644549763033,1914,7014,True,True
Letonia,1992,2022,31,31,100.0,40,9,226,93.02325581395348,100.0,8542,121.92406508706823,0,8542,False,True
Líbano,1961,2022,62,62,100.0,40,9,218,93.02325581395348,100.0,9237,68.34122521456052,1943,7294,True,True
Liberia,1961,2022,62,62,100.0,39,9,204,90.69767441860465,100.0,8636,68.27956989247312,1943,6693,True,True
Libia,1961,2022,62,62,100.0,40,9,214,93.02325581395348,100.0,8961,67.53843834790473,1914,7047,True,True
Liechtenstein,1961,2022,62,62,100.0,34,9,171,79.06976744186046,100.0,6607,62.31843048481419,377,6230,True,True
Lituania,1992,2022,31,31,100.0,41,9,230,95.34883720930233,100.0,8531,119.64936886395512,0,8531,False,True
Luxemburgo,2000,2022,23,23,100.0,40,9,226,93.02325581395348,100.0,6070,116.77568295498268,0,6070,False,True
Macedonia del Norte,1992,2022,31,31,100.0,40,9,226,93.02325581395348,100.0,7587,108.29289180702256,0,7587,False,True
Madagascar,1961,2022,62,62,100.0,40,9,213,93.02325581395348,100.0,9190,69.58958049371498,1972,7218,True,True
Malasia,1961,2022,62,62,100.0,42,9,229,97.67441860465115,100.0,10246,72.16509367516551,2088,8158,True,True
Malawi,1961,2022,62,62,100.0,41,9,217,95.34883720930233,100.0,9148,67.99464843169318,1972,7176,True,True
Maldivas,1961,2022,62,62,100.0,34,9,184,79.06976744186046,100.0,7232,63.394109396914445,1160,6072,True,True
Malí,1961,2022,62,62,100.0,40,9,214,93.02325581395348,100.0,9233,69.5884835694905,2001,7232,True,True
Malta,1961,2022,62,62,100.0,40,9,222,93.02325581395348,100.0,10424,75.73379831444348,1943,8481,True,True
